uf,ano,regiao,salario_medio,gasto_edu_pc,pib_pc
CE,2022,NE,2045.9595479673617,928.380641133994,28150.264822321078
DF,2010,CO,2459.3883734780084,661.5660208501881,40543.0253196523
DF,2011,CO,2516.883025165712,582.1978391928334,38522.13237891717
DF,2012,CO,2570.1215510680454,592.4276959449132,37245.393945406344
DF,2013,CO,2759.9803403153533,621.6241713699611,41173.45542332432
DF,2014,CO,2543.0582864262947,770.1668857878883,42539.02412912112
DF,2015,CO,2871.945529420446,589.632010503939,42579.661180681804
DF,2016,CO,3084.7817396034766,607.9011949338468,41491.55129109478
DF,2017,CO,2698.731572554727,490.5016474438042,43199.47654432335
DF,2018,CO,3184.6624866288466,712.0861407294652,43917.47897896794
DF,2019,CO,3846.3066884975965,913.4283356258721,53144.75855203901
DF,2020,CO,3517.698055090793,800.3760328885301,46957.61139188786
DF,2021,CO,3811.9309734076396,1278.9698133562838,46775.908430400574
DF,2022,CO,3342.9876012765417,833.6234962742303,51026.127190713145
ES,2010,SE,3064.7545451194637,782.6353610568057,29958.110804057367
ES,2011,SE,3168.6992517523117,895.8213679764903,31951.025327063675
ES,2012,SE,3442.8301106335084,973.8680726673159,33009.73785378561
ES,2013,SE,3140.1773150554695,804.0212468806087,32239.994564610955
ES,2014,SE,3572.283461584546,1206.024648185008,33908.95179907908
ES,2015,SE,3680.0115244539425,1075.712872502143,35680.16697603499
ES,2016,SE,3710.3322468161386,1321.6337576993453,37345.95607738897
ES,2017,SE,3660.186167494098,1050.9671353249964,35232.64856974592
ES,2018,SE,3844.1192517140053,1152.030935848858,37075.09653084727
ES,2019,SE,3786.0306650692432,912.1330595936414,37885.017232755614
ES,2020,SE,4074.6898029857152,1202.0913356270003,38678.36363023576
ES,2021,SE,4283.969803790822,1736.923244267996,39605.54952155188
ES,2022,SE,3744.7215132786373,894.0186405722939,37485.499443383356
GO,2010,CO,2451.7028566895874,488.17419106642626,37010.302440521235
GO,2011,CO,2270.945608439414,433.5479974544554,36844.09104984578
GO,2012,CO,2799.39329015407,683.5698636646691,38671.0484079765
GO,2013,CO,2695.206530359012,646.4227640691245,39541.08571033434
GO,2014,CO,2604.759526650774,519.6540708643362,39212.6648457201
GO,2015,CO,2953.567400432813,552.2409881543866,40041.75440819941
GO,2016,CO,2638.710139328893,477.2892836571348,37199.34075225088
GO,2017,CO,3233.5869057288674,758.6720031575685,41421.558886842926
GO,2018,CO,3267.85155095581,817.2355200800089,42252.38350106005
GO,2019,CO,2902.257158744706,566.4438081433312,42150.95147154478
GO,2020,CO,3516.0085113845944,748.4256491131263,47725.35776848794
GO,2021,CO,3081.537652023292,597.1212325071913,43376.19127595435
GO,2022,CO,3197.8721731726573,707.9068305273387,47292.13098482638
MA,2010,NE,1590.7880728069085,490.01627024079147,24104.35036300185
MA,2011,NE,1706.96499145361,639.0063915567922,20933.911333044696
MA,2012,NE,1585.0425007953938,672.3389901378231,21247.064019301368
MA,2013,NE,1765.4067940730474,702.995790114433,21792.3281815832
MA,2014,NE,1834.115146426171,600.5592613591065,24498.879924734225
MA,2015,NE,1774.4481300130108,907.6053243182433,22083.770646572546
MA,2016,NE,1986.8806198372984,682.5540622713346,26722.571359926133
MA,2017,NE,1856.8694969415192,574.9981878385869,26159.05806476505
MA,2018,NE,2187.973529979134,904.8613659816484,24004.968187470746
MA,2019,NE,2175.483767173506,946.725092032138,24645.98658481919
MA,2020,NE,2092.816232167215,839.0625826541481,26640.160379789068
MA,2021,NE,2276.2850328482423,946.9708628907086,25645.69641526533
MA,2022,NE,2408.0604583995746,897.6502167135064,27835.933154451013
MT,2010,CO,2114.7456622851278,478.0379405774168,26690.398556101918
MT,2011,CO,2427.0299582422563,695.0114834147712,32655.170356843086
MT,2012,CO,2415.47707960898,659.9814887331358,28747.697796146396
MT,2013,CO,2615.837462610264,877.6427108486436,30914.69220242656
MT,2014,CO,2839.861341647736,869.2830520846381,34069.719819912185
MT,2015,CO,2305.3438558336843,872.5981221461772,27608.95514211911
MT,2016,CO,2792.7944218024836,809.0981475936596,30585.73595474411
MT,2017,CO,2785.541567387833,716.2036700026692,31315.883258737656
MT,2018,CO,2865.125873714672,729.1427482002841,32831.03768067439
MT,2019,CO,2700.9605738531427,803.8268729425128,33044.7408110726
MT,2020,CO,3154.557800756471,658.9973396133897,38751.24052844084
MT,2021,CO,3147.3525967702985,888.0482531633036,35125.25807631683
MT,2022,CO,3323.7912367778185,879.1333637423935,38488.45681177037
MS,2010,CO,2697.074024063788,666.7221581097021,36597.12652779091
MS,2011,CO,2655.279205202728,680.6166913150845,34770.33549537988
MS,2012,CO,2887.0520125875514,934.9169350840766,37747.30933029577
MS,2013,CO,2739.6011843530437,684.3792381825161,39703.43470400549
MS,2014,CO,3047.0368802974504,1086.4661965778891,40801.59004054553
MS,2015,CO,3178.96423587274,806.7697868368082,40793.464504275245
MS,2016,CO,3046.95792200515,706.1789557316313,39677.55706744849
MS,2017,CO,2809.7770728147852,787.027938929668,40754.477518376734
MS,2018,CO,3351.074026037671,835.741143826606,41583.41579089046
MS,2019,CO,3226.6774409709938,724.9981638770511,44503.17036382409
MS,2020,CO,3665.3273171368705,798.1193191351244,47327.9569115416
MS,2021,CO,3086.7157196036433,874.1798678832689,44736.110836545144
MS,2022,CO,3826.5844929014897,1097.4462749861552,45699.42826575381
MG,2010,SE,3025.4008082654464,463.75886113722476,33743.196498741934
MG,2011,SE,2904.730195733291,556.0881045369464,32699.9833217498
MG,2012,SE,2946.6302123182295,440.8920871018016,34358.124200223865
MG,2013,SE,3219.744948619761,589.5332374975392,31471.30461726213
MG,2014,SE,3099.446981980655,608.5945453734877,35373.559384028296
MG,2015,SE,3301.95494549619,505.0857577150836,35046.96043058674
MG,2016,SE,3555.042920524586,612.9951417491063,37273.560155359664
MG,2017,SE,3515.4806050466104,676.4992404771356,38760.0575331259
MG,2018,SE,3832.050642233087,533.367625047078,40592.09980688876
MG,2019,SE,3971.0617605196,493.00084615578396,38096.9999631656
MG,2020,SE,3396.9942450457165,820.2449768258269,41350.4600223847
MG,2021,SE,3702.9133083279658,648.654760868873,38432.583677675575
MG,2022,SE,3845.4950228894386,698.1398266996948,42810.92747464975
PA,2010,N,1409.4272135772724,538.0726440520416,22855.874312925538
PA,2011,N,1661.2037849414082,607.0918141129869,25731.965599121486
PA,2012,N,1805.0007071650348,738.3222152401803,24273.798857897094
PA,2013,N,1672.8434467341635,437.7688649688718,25690.891038644175
PA,2014,N,1734.874707558843,556.8075129566544,26322.913555533665
PA,2015,N,1740.5479051034476,610.9988977953842,26444.2682241981
PA,2016,N,1765.5755761922192,588.7810883717009,26571.465807014054
PA,2017,N,1812.169934556767,690.3896054272924,24202.460059289937
PA,2018,N,2229.8379224422997,832.8277734303063,28505.633398938167
PA,2019,N,2232.3020402347547,714.5235711944127,29558.373833719692
PA,2020,N,2375.8525147461687,690.3081736705569,28430.021088531746
PA,2021,N,2212.1143463658454,711.7594459641889,26470.154273293116
PA,2022,N,2055.255277756928,811.0289633551927,27497.953261354643
PB,2010,NE,1323.1449390898547,528.7285739252566,18616.97179805284
PB,2011,NE,1351.9819611617854,405.75799383187393,20421.6324851241
PB,2012,NE,1346.3552722023305,394.9103630233349,22330.54914842391
PB,2013,NE,1504.4535423395234,507.0492846445763,23389.775021432208
PB,2014,NE,1564.6918179007043,512.4866003938799,20819.12131092928
PB,2015,NE,1392.9498350106524,524.0160132585103,19724.96488558127
PB,2016,NE,1473.5835719223307,533.3918511148482,22013.911931307564
PB,2017,NE,1601.5767761400284,622.7058366032738,22034.841116413198
PB,2018,NE,1750.4531358358222,599.3711405697783,25290.844374678927
PB,2019,NE,1783.9329643140695,629.6054717559331,24431.957147282792
PB,2020,NE,1772.7683561160813,716.4853965917036,24338.485461692257
PB,2021,NE,1878.8644138250368,747.0342299516385,23472.29684053458
PB,2022,NE,1984.8779811331376,699.236538947367,23269.71738237606
PR,2010,S,2451.653324615429,548.6244105372912,29209.281147641457
PR,2011,S,2265.814184371823,468.0211459154873,28960.145248005647
PR,2012,S,2414.5227362820565,462.47516496522934,29142.82778953433
PR,2013,S,2550.35806281859,771.4893581768225,26874.72539304352
PR,2014,S,2551.5070920151065,544.810259372158,28040.210592252133
PR,2015,S,2565.651108975683,516.6540348341637,28702.051727383598
PR,2016,S,2668.405234956174,490.1699334546212,29042.03242620315
PR,2017,S,2710.042684517036,456.4736889046759,30014.41328061842
PR,2018,S,2877.311238074806,757.8692102462018,29359.51902519735
PR,2019,S,3070.5121444853603,550.2870336741007,32551.574619779498
PR,2020,S,2946.927572170401,638.5795470870927,29465.270791043455
PR,2021,S,3149.172433410412,668.9344368705611,32688.68909570133
PR,2022,S,3616.815278888872,846.9717447059169,31909.160401347097
PE,2010,NE,1794.8966538183736,457.2379700756772,25198.028777359104
PE,2011,NE,1795.309558084576,427.6441624199655,25735.396503301392
PE,2012,NE,1987.5407251286067,725.0995859996493,23851.77393305769
PE,2013,NE,1924.0487841507081,665.0587340736457,23761.709822017172
PE,2014,NE,2000.618720674458,710.1984382546891,25162.046624987604
PE,2015,NE,2185.1494177327986,765.0052978642542,30725.596702590134
PE,2016,NE,2365.1764057005676,742.9555129725087,26330.053465534776
PE,2017,NE,2369.5712421294393,647.4774287283085,28002.573847929387
PE,2018,NE,2243.4504944972514,616.5679136932512,28999.170556919224
PE,2019,NE,2239.8231189858034,571.8964332250615,27831.09190100166
PE,2020,NE,2394.428205464135,709.6915170634179,30502.52421530633
PE,2021,NE,2813.9431299702946,824.6421345239931,30432.243697638067
PE,2022,NE,2790.9868732134714,915.8737116393826,29137.783659479417
PI,2010,NE,1501.7821063864235,617.2711174977962,20682.21472612359
PI,2011,NE,1493.8789767474968,590.9608844075317,21027.407659223856
PI,2012,NE,1596.4506744840228,603.5593904951754,21161.765520989822
PI,2013,NE,1703.7597592568109,824.3394221272425,23387.38089980026
PI,2014,NE,1714.589701735669,496.80010936501793,20429.035010259722
PI,2015,NE,1828.9990259089357,574.493880103674,22049.506667708596
PI,2016,NE,1947.6651644311553,803.6447658171189,23841.404399676492
PI,2017,NE,1936.549475020057,1062.7953419218306,22617.920455092615
PI,2018,NE,2255.949016854482,777.78242581026,27146.99194392528
PI,2019,NE,1953.2553623785732,753.8768797703416,22097.954446502852
PI,2020,NE,2134.817264155211,880.1161333110462,25165.259324871633
PI,2021,NE,2092.69776101056,707.5737899034327,24175.101409050134
PI,2022,NE,2331.351592256058,1076.1991605855383,26631.92582943471
RJ,2010,SE,3261.686894971599,713.2467970415537,39251.584569631574
RJ,2011,SE,2787.844077610425,824.2119791095873,33606.97008072706
RJ,2012,SE,3343.2421101011014,881.0856745695196,40584.191311235474
RJ,2013,SE,3252.086941092983,821.3777085277065,38990.761594749296
RJ,2014,SE,3322.14587051375,658.2721091941627,38339.15966969172
RJ,2015,SE,3317.7149650935935,816.044823016928,40091.86461998065
RJ,2016,SE,3257.653667517782,933.318981852931,40035.82140699521
RJ,2017,SE,3424.8408825936863,953.1643574236926,38424.494765161755
RJ,2018,SE,4129.280594837189,743.4664853163771,44997.67736951692
RJ,2019,SE,3640.794587014245,798.5675209514621,45448.28447115886
RJ,2020,SE,3823.5664904678656,898.6781859646433,43179.41371539336
RJ,2021,SE,3735.60961440914,1129.3240224213932,43431.41032511526
RJ,2022,SE,3900.9786991431283,1256.6443784121618,49087.73269032891
RN,2010,NE,1746.2891605229354,459.4892263053459,29018.062396295038
RN,2011,NE,1559.909905400916,518.6359145543099,28782.437972111085
RN,2012,NE,1693.732969959344,606.4386699087922,29306.649315724197
RN,2013,NE,1871.997077240144,530.5410535131581,32562.209483895844
RN,2014,NE,1681.8184329115352,698.1873708295019,28332.19498165163
RN,2015,NE,1599.3564964417087,436.5964105360134,31154.3784540544
RN,2016,NE,1652.6132145531824,489.6842693860838,32583.706390684423
RN,2017,NE,1892.4920427522736,649.1347272933707,29419.771683238116
RN,2018,NE,2076.0834839112485,898.6873330759621,32400.151415360597
RN,2019,NE,1914.6179435419547,611.6080282647019,32045.255819453723
RN,2020,NE,2053.2138804026426,498.32621782388924,31584.976930932582
RN,2021,NE,2210.37230913636,821.302887821825,34675.85663210353
RN,2022,NE,2291.9682855633832,766.4596585258864,34647.70731143467
RS,2010,S,2878.525574294531,893.8474007191967,33946.601681358865
RS,2011,S,2530.195283060455,625.0628437108287,29258.76164177886
RS,2012,S,2869.1239267100077,729.8398597095427,32822.08145609595
RS,2013,S,2781.400465673706,815.8425643581795,35379.421392834745
RS,2014,S,2978.51064788863,670.9835739557226,32600.2651830282
RS,2015,S,3351.6108479114273,1083.1832368200253,35233.0992383785
RS,2016,S,2999.65509053395,769.8795333183001,33819.164661561845
RS,2017,S,3445.10013530034,1109.914356422251,36068.865140527356
RS,2018,S,3667.45980261703,980.1135545876134,36974.225401426185
RS,2019,S,3588.5007986064707,912.7641994736423,38011.26530137474
RS,2020,S,3608.6972460940037,854.9533223958259,37383.58457315699
RS,2021,S,3667.3049464228884,989.1871487264101,37748.96503814884
RS,2022,S,3956.74425190174,1494.4027477138343,39179.65885479675
RO,2010,N,1532.7478932694987,663.9940677490877,24156.52898157714
RO,2011,N,1416.858780014824,615.7096831123242,22150.643310666997
RO,2012,N,1634.6174574271874,647.7627518635045,24318.163935543518
RO,2013,N,1508.8822952498467,689.5086600126439,21538.231230101497
RO,2014,N,1485.0622973529405,583.3403267330046,20864.19799829605
RO,2015,N,1579.8616339211212,790.6882166941895,23146.609821027625
RO,2016,N,1917.220218983437,978.8371210584364,25570.1051213036
RO,2017,N,1829.6848630152506,940.6113783451226,26006.625843972284
RO,2018,N,1901.8527810926494,844.5577188295322,27555.866495220456
RO,2019,N,1952.3180835838525,826.7272045701397,26342.761302720726
RO,2020,N,2041.018998274151,766.1204334174065,28871.6570799127
RO,2021,N,1828.9375110769934,770.914183042629,29533.056029398296
RO,2022,N,1871.1484236265221,607.3061889387791,28339.89038396966
RR,2010,N,1911.4467967401233,594.7102795400524,26530.19484011432
RR,2011,N,1936.610281073826,970.5789298023037,26954.356078435667
RR,2012,N,1896.8381791633487,766.1696170964624,26344.427653424314
RR,2013,N,1860.6617419597017,854.9969693716338,29071.41515936647
RR,2014,N,2131.4786078964844,872.0749611181739,27951.08692311235
RR,2015,N,1905.92211635097,648.1207126043616,26749.137699275376
RR,2016,N,2109.289272160137,851.3427687666086,28459.325965227355
RR,2017,N,2006.0146653754582,929.9582115292576,28058.843780571566
RR,2018,N,2242.325274268453,889.348792631245,28003.255836382832
RR,2019,N,2257.4911883462305,1012.5500710396321,28968.38563990055
RR,2020,N,2182.2825043981675,700.2555100513529,30656.586027229754
RR,2021,N,2405.4458771559566,668.4936217981455,30903.40861263412
RR,2022,N,2328.1943944021,752.1907792723645,32213.926827993808
SC,2010,S,2539.762689675043,383.08536028810977,37074.50386450119
SC,2011,S,2354.2323591413838,542.3066935665477,33883.434251243765
SC,2012,S,2976.7151682732037,631.2895329392729,34584.85347672115
SC,2013,S,2616.663284985385,501.4708698112016,35835.263840853135
SC,2014,S,2797.681379989303,556.9906415085002,37934.122794926574
SC,2015,S,3054.083371260462,611.292949426294,36722.851883433614
SC,2016,S,2971.543247650718,624.6325861196666,37884.40220766811
SC,2017,S,2997.058849694881,544.7447572781836,38397.97925363366
SC,2018,S,3251.828198236995,683.6263828949047,43630.26697085885
SC,2019,S,3391.526431098282,715.6378046913277,38741.00902320143
SC,2020,S,3119.0858015401814,668.6121848228114,45724.27670841151
SC,2021,S,3472.695494710649,900.5457532037688,41715.493232516215
SC,2022,S,3646.603493407177,616.9000505803104,44266.38506060153
SP,2010,SE,2693.1588536960817,578.2810690123081,33608.68919571464
SP,2011,SE,2746.5698533256013,770.131416176298,34298.34592148677
SP,2012,SE,3013.2487623937545,563.2948989090507,34102.13038652936
SP,2013,SE,3029.845085939115,643.1274008434947,34956.81741800455
SP,2014,SE,2943.8905312222323,723.5151145001192,33584.12292252293
SP,2015,SE,3371.976087298954,935.9362997126475,36260.407677338255
SP,2016,SE,3388.9265051296406,696.0891935535408,41615.59694822766
SP,2017,SE,3314.493000811619,781.8109816145424,40336.73658031379
SP,2018,SE,2954.0514099644056,807.6457828278126,37376.30845267986
SP,2019,SE,3427.5274081184116,1043.1195756578857,38621.87721133906
SP,2020,SE,3613.8934796166013,804.8773968442626,42726.18097241063
SP,2021,SE,3595.767215759174,921.5449049428552,42016.43974317399
SP,2022,SE,3931.4235654514227,928.8086099972053,42948.77619844351
SE,2010,NE,1875.7814426384193,645.5354989257985,23577.576330036478
SE,2011,NE,1971.951894244981,520.0566842512222,23201.704444784777
SE,2012,NE,1881.5013474956095,594.814152095296,24972.838599688406
SE,2013,NE,1967.5196434959048,675.1271254135193,23322.619870407332
SE,2014,NE,1899.582968530929,610.4098195320122,22559.541398597074
SE,2015,NE,2054.7234842503976,793.3823836628889,24243.61177374898
SE,2016,NE,2187.8639684549103,655.462968323,24919.14295903336
SE,2017,NE,2099.34692300001,743.0697516203569,25634.10952096275
SE,2018,NE,2357.919081425562,938.8860441419511,26236.829323252576
SE,2019,NE,2284.7106416954384,630.2168087384258,27701.931086479854
SE,2020,NE,2172.366724753188,793.495217828486,25298.043890608915
SE,2021,NE,2540.3157158389804,776.5773081450221,31209.174288807102
SE,2022,NE,2927.34241791938,954.3294566982511,31264.26413040811
TO,2010,N,1579.2443122774034,620.1676373530139,25919.113750541
TO,2011,N,1652.9870258261383,693.7401209277367,29512.672288253474
TO,2012,N,1745.6359835582114,518.7622084970963,30294.65902320853
TO,2013,N,1731.4634121554782,659.2435481516814,29643.45189696301
TO,2014,N,1674.7577003849926,543.4189766994405,29487.33378853389
TO,2015,N,1753.799357242757,558.69362662446,32133.79350952957
TO,2016,N,1892.7561681084226,800.4258968543587,29315.413908223563
TO,2017,N,1798.9877162861983,638.5299866147536,32656.19496067783
TO,2018,N,2007.7006275718124,797.3452424985809,36937.41503492072
TO,2019,N,2187.357158876537,830.7145025342071,34037.67209055457
TO,2020,N,2035.875332985598,913.0161395483028,35343.61761401831
TO,2021,N,1968.605993312302,776.0584939768618,32290.391381739053
TO,2022,N,2173.1376429942147,1070.3014316661224,34800.55433820142
